Ano;Esforço PF
2013;39,00
2011;108,00
2011;39,00
2011;516,00
2011;8,25
2011;14,00
2011;10,00
2011;4,50
2011;3,00
2011;1,00
2011;26,46
2011;301,25
2011;21,00
2011;21,00
2014;10,00
2017;180,00
2011;48,00
2011;5,00
2011;15,25
2011;143,00
2011;456,00
2011;107,55
2017;13,00
2011;412,93
2011;194,21
2011;5,60
2013;7,00
2011;43,20
2011;103,60
2012;14,00
2011;53,46
2011;21,00
2011;67,80
2011;7,50
2011;116,61
2011;3,00
2011;8,00
2011;43,20
2011;9,00
2011;34,00
2011;3,75
2011;4,20
2011;1,00
2011;3,00
2011;32,40
2011;17,00
2011;4,00
2011;357,20
2011;4,50
2011;6,00
2011;6,00
2011;27,81
2011;210,00
2011;5,25
2011;12,00
2013;18,10
2011;1,00
2011;6,00
2011;15,00
2011;3,00
2011;2,25
2011;55,00
2011;3,00
2011;1,00
2011;11,00
2011;40,00
2011;360,00
2011;253,00
2011;9,00
2011;1,20
2011;6,00
2011;9,00
2011;5,00
2011;5,00
2011;24,00
2011;0,60
2011;15,50
2011;40,00
2011;209,00
2011;9,60
2011;4,20
2011;3,00
2011;1,20
2011;6,00
2011;41,00
2011;16,70
2014;179,20
2011;7,00
2011;4,00
2011;4,00
2011;13,00
2011;29,00
2011;29,00
2011;10,00
2011;251,00
2011;0,60
2011;27,00
2011;35,00
2011;28,50
2011;146,00
2011;18,00
2011;7,80
2011;141,00
2011;78,00
2011;20,00
2011;254,60
2011;3,00
2011;28,60
2011;429,98
2011;519,80
2011;1,00
2011;6,00
2011;24,50
2011;13,00
2016;44,58
2011;964,00
2011;9,00
2011;1,20
2011;12,00
2011;15,00
2011;228,00
2011;10,00
2011;32,40
2011;30,00
2011;27,00
2011;8,00
2011;86,00
2011;77,00
2011;593,00
2011;151,00
2011;628,00
2011;1,00
2011;12,00
2011;38,00
2011;20,30
2011;171,40
2011;79,00
2017;89,44
2011;30,00
2011;29,00
2011;4,00
2011;35,00
2011;14,00
2011;10,00
2011;22,00
2011;0,60
2011;34,00
2011;56,00
2011;24,00
2011;25,00
2011;38,00
2011;4,50
2011;7,00
2011;0,60
2011;6,00
2011;3,00
2011;5,00
2011;39,00
2011;26,00
2011;84,75
2011;4,50
2011;6,00
2011;474,40
2011;212,80
2011;40,00
2011;20,00
2011;349,00
2011;397,80
2011;65,00
2011;6,00
2011;29,00
2011;2,40
2011;55,59
2011;100,00
2011;108,00
2011;10,00
2014;45,25
2011;94,00
2011;72,00
2011;25,00
2011;3.397,61
2011;71,00
2011;55,59
2011;5,00
2011;77,00
2011;36,64
2011;85,20
2012;4,00
2011;13,00
2011;36,95
2011;6,00
2011;81,00
2011;115,00
