Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês;ANO_ASSIN;TEMPO_ENTREGA
430,0;2010;2019-11-28;2010-03-17;01/03/10;2019,0;3543,0
480,55;2013;2015-02-12;2013-05-02;01/05/13;2015,0;651,0
197,75;2014;2014-12-23;2014-06-20;01/06/14;2014,0;186,0
10,5;2017;2018-02-19;2017-05-03;01/05/17;2018,0;292,0
18,0;2010;2012-10-02;2010-01-22;01/01/10;2012,0;984,0
7,0;2011;2012-01-10;2011-12-02;01/12/11;2012,0;39,0
6,5;2010;2012-02-28;2010-01-22;01/01/10;2012,0;767,0
23,0;2010;2013-06-11;2010-01-22;01/01/10;2013,0;1236,0
6,0;2010;2012-03-21;2010-05-10;01/05/10;2012,0;681,0
2,25;2014;2014-12-15;2014-07-24;01/07/14;2014,0;144,0
17,0;2017;2019-06-04;2017-05-02;01/05/17;2019,0;763,0
82,0;2017;2018-09-17;2017-05-02;01/05/17;2018,0;503,0
56,0;2017;2021-02-26;2017-05-04;01/05/17;2021,0;1394,0
16,0;2017;2018-01-23;2017-05-02;01/05/17;2018,0;266,0
12,0;2017;2017-10-23;2017-05-03;01/05/17;2017,0;173,0
13,0;2017;2018-11-01;2017-05-02;01/05/17;2018,0;548,0
21,0;2013;2014-02-03;2013-05-06;01/05/13;2014,0;273,0
31,0;2013;2013-06-21;2013-05-06;01/05/13;2013,0;46,0
61,5;2017;2017-10-06;2017-05-02;01/05/17;2017,0;157,0
81,5;2014;2015-08-03;2014-07-25;01/07/14;2015,0;374,0
289,48;2014;2016-01-04;2014-06-27;01/06/14;2016,0;556,0
103,0;2008;2012-03-26;2008-07-15;01/07/08;2012,0;1350,0
12,0;2017;2017-10-23;2017-05-03;01/05/17;2017,0;173,0
12,0;2014;2018-01-17;2014-07-29;01/07/14;2018,0;1268,0
117,79;2014;2015-06-10;2014-07-29;01/07/14;2015,0;316,0
14,0;2012;2014-02-06;2012-05-03;01/05/12;2014,0;644,0
264,0;2013;2015-07-20;2013-04-29;01/04/13;2015,0;812,0
15,0;2014;2016-03-04;2014-07-18;01/07/14;2016,0;595,0
260,25;2017;2017-09-21;2017-04-28;01/04/17;2017,0;146,0
220,16;2017;2020-11-17;2017-05-02;01/05/17;2020,0;1295,0
113,4;2014;2018-03-27;2014-07-22;01/07/14;2018,0;1344,0
52,5;2014;2017-09-22;2014-07-18;01/07/14;2017,0;1162,0
5,0;2014;2015-08-20;2014-07-18;01/07/14;2015,0;398,0
19,2;2014;2014-10-15;2014-07-17;01/07/14;2014,0;90,0
14,0;2014;2014-08-05;2014-07-18;01/07/14;2014,0;18,0
308,0;2012;2013-08-02;2012-11-12;01/11/12;2013,0;263,0
11,8;2013;2015-05-28;2013-01-23;01/01/13;2015,0;855,0
11,0;2014;2014-08-29;2014-07-23;01/07/14;2014,0;37,0
18,75;2014;2014-10-24;2014-07-21;01/07/14;2014,0;95,0
3,0;2014;2014-10-10;2014-07-31;01/07/14;2014,0;71,0
29,0;2017;2017-07-20;2017-04-28;01/04/17;2017,0;83,0
25,4;2014;2014-10-09;2014-07-14;01/07/14;2014,0;87,0
127,18;2014;2019-05-24;2014-07-14;01/07/14;2019,0;1775,0
17,25;2014;2014-07-21;2014-07-15;01/07/14;2014,0;6,0
149,77;2017;2018-12-18;2017-04-27;01/04/17;2018,0;600,0
43,5;2012;2016-04-18;2012-04-18;01/04/12;2016,0;1461,0
25,4;2014;2015-08-19;2014-07-14;01/07/14;2015,0;401,0
6,0;2014;2014-11-06;2014-07-22;01/07/14;2014,0;107,0
149,77;2017;2018-12-18;2017-04-27;01/04/17;2018,0;600,0
24,0;2014;2014-08-07;2014-07-16;01/07/14;2014,0;22,0
153,9;2014;2015-02-04;2014-07-14;01/07/14;2015,0;205,0
26,95;2017;2018-04-18;2017-05-03;01/05/17;2018,0;350,0
0,6;2014;2016-01-05;2014-07-10;01/07/14;2016,0;544,0
4,5;2017;2018-08-08;2017-04-26;01/04/17;2018,0;469,0
131,25;2013;2014-01-21;2013-05-06;01/05/13;2014,0;260,0
30,0;2014;2014-09-02;2014-07-10;01/07/14;2014,0;54,0
38,0;2014;2015-07-06;2014-07-11;01/07/14;2015,0;360,0
3,06;2017;2017-07-10;2017-04-28;01/04/17;2017,0;73,0
190,35;2013;2013-12-09;2013-05-06;01/05/13;2013,0;217,0
297,0;2013;2013-09-26;2013-05-02;01/05/13;2013,0;147,0
12,0;2013;2013-05-16;2013-01-25;01/01/13;2013,0;111,0
22,4;2017;2017-08-18;2017-04-26;01/04/17;2017,0;114,0
2863,05;2014;2019-10-18;2014-07-28;01/07/14;2019,0;1908,0
2,0;2013;2013-02-28;2013-01-23;01/01/13;2013,0;36,0
4,5;2014;2015-03-09;2014-07-10;01/07/14;2015,0;242,0
107,8;2014;2018-04-04;2014-07-08;01/07/14;2018,0;1366,0
4,0;2017;2017-07-04;2017-04-27;01/04/17;2017,0;68,0
43,0;2014;2015-07-27;2014-07-11;01/07/14;2015,0;381,0
3,0;2014;2014-11-10;2014-07-08;01/07/14;2014,0;125,0
11,5;2017;2017-09-19;2017-04-25;01/04/17;2017,0;147,0
271,6;2014;2019-12-09;2014-07-07;01/07/14;2019,0;1981,0
119,7;2014;2016-07-20;2014-08-08;01/08/14;2016,0;712,0
115,6;2017;2017-09-29;2017-04-27;01/04/17;2017,0;155,0
149,77;2017;2018-12-18;2017-04-26;01/04/17;2018,0;601,0
5,0;2018;2018-11-06;2018-04-11;01/04/18;2018,0;209,0
54,0;2012;2012-06-27;2012-04-19;01/04/12;2012,0;69,0
47,9;2014;2016-06-09;2014-07-04;01/07/14;2016,0;706,0
87,62;2014;2015-03-09;2014-07-03;01/07/14;2015,0;249,0
29,75;2017;2018-12-20;2017-08-01;01/08/17;2018,0;506,0
24,0;2013;2013-09-06;2013-04-30;01/04/13;2013,0;129,0
8,7;2012;2012-11-01;2012-09-14;01/09/12;2012,0;48,0
47,5;2017;2018-04-24;2017-04-19;01/04/17;2018,0;370,0
49,15;2017;2019-04-09;2017-04-24;01/04/17;2019,0;715,0
16,32;2017;2019-02-11;2017-04-20;01/04/17;2019,0;662,0
118,75;2014;2015-10-26;2014-07-03;01/07/14;2015,0;480,0
1069,44;2017;2019-01-10;2017-04-19;01/04/17;2019,0;631,0
45,0;2017;2017-08-02;2017-04-19;01/04/17;2017,0;105,0
